	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я	 
ф	0.00023318256787156836	0.0	0.0	0.0	0.0	1.6508511685429242e-05	0.0	0.0	0.00021048337494977782	0.0	8.254255842714621e-06	4.9525483957049434e-05	3.301700633777905e-05	8.25423880963519e-06	0.00037763184498039096	0.0	0.00010317814267642462	0.0	2.4762716428905568e-05	7.42882514851933e-05	0.0	0.0	0.0	0.0	0.0	0.0	4.7461943416855e-05	3.301700633777905e-05	0.0	8.25423880963519e-06	0.0	6.603396157631981e-05
х	0.0006025601995919433	0.0	0.0001960384549037813	8.254255842714621e-06	8.254255842714621e-06	4.127124514741424e-05	0.0	0.0	0.00028477149868687534	0.0	8.25423880963519e-06	0.0007573272305009762	4.127126218049367e-05	0.00030334356794557845	0.002684693819348562	0.0	0.00014032226416075142	5.777972276668462e-05	8.254255842714621e-06	8.66695969248365e-05	0.0	0.0	0.0	8.254255842714621e-06	2.4762733461985e-05	0.0	0.0	0.0	1.650849465234981e-05	0.0	0.0	0.0033883685359113384
ц	0.0005035092061282252	0.0	0.00022905533349346462	0.0	0.0	0.000734628029062646	0.0	0.0	0.00022286468632326216	0.0	4.952546692397e-05	0.0	0.0	0.0	0.00013000440816206434	8.254255842714621e-06	0.0	0.0	0.0	0.00016921202760388697	0.0	0.0	1.6508511685429242e-05	0.0	0.0	0.0	0.00017333916830005385	0.0	0.0	0.0	0.0	0.00021254685587419422
ч	0.001706565647461471	8.254255842714621e-06	0.0	0.0	0.0	0.0029116855612025937	0.0	0.0	0.0018448240730031384	0.0	0.001108132861094966	0.0	8.25423880963519e-06	0.0011514674168360023	0.00015889423973751765	0.0	0.0	0.0	0.0030231178745563363	0.0006830390812142597	0.0	1.650849465234981e-05	0.0	0.0	0.0001568306991973232	0.0	0.0	0.0002868351158759273	0.0	0.0	0.0	9.079667800522537e-05
ш	0.0008935222347340048	0.0	1.8572043709083964e-05	0.0	0.0	0.0020284813442815307	0.0	0.0	0.0017829173969041603	0.0	0.0007263736710214548	0.0005076361850101375	1.650849465234981e-05	0.00024350029612215973	0.00026826310623300213	1.6508511685429242e-05	1.650849465234981e-05	8.254255842714621e-06	2.4762733461985e-05	0.0001258772419162783	0.0	0.0	0.0	8.25423880963519e-06	0.0	0.0	0.0	0.0006768482637132628	0.0	0.0	0.0	9.079667800522537e-05
щ	0.00035699630331381113	0.0	0.0	0.0	0.0	0.001425921161722667	0.0	0.0	0.00104622582730132	0.0	0.0	0.0	8.25423880963519e-06	6.603397860939924e-05	0.0	8.254255842714621e-06	0.0	0.0	0.0	0.0002455639047946719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.1589033013783585e-05	0.0	0.0	0.0	8.254255842714621e-06
ы	0.0	0.00024350030463869945	0.0008584416452733326	0.00026826306365030354	0.0001320679742518779	0.001444493265047529	5.7779756832843483e-05	6.603397860939924e-05	8.254255842714621e-06	0.001456874917082602	0.00020635612353859462	0.0023792867960281865	0.0010586071897740427	0.00017540277697256605	0.0	0.0001754027088402483	0.00014444933672460054	0.00041477594091509853	0.0005220812328042298	8.25423880963519e-06	0.0	0.0009760647250288332	8.254255842714621e-06	0.00023111889106673848	0.0007263738328357094	1.650849465234981e-05	0.0	0.0	0.0	0.0	3.508053836143377e-05	0.004574916584790712
ь	0.0	4.9525483957049434e-05	1.6508511685429242e-05	4.127124514741424e-05	2.476275049506443e-05	0.00039001325003581213	0.0	0.000193974761065872	0.00010936876429700791	0.0	0.001543544411808962	0.0	0.00039001317338695473	0.0009574926813197494	2.4762767528143866e-05	0.0	0.0	0.0010462257932351612	0.00013206794018571905	0.0	8.25423880963519e-06	0.0	8.666960544137623e-05	6.809758728191141e-05	0.0007552635622126862	1.0317804899448775e-05	0.0	0.0	0.0	0.0003219156457208213	0.001124641134317283	0.01121133156278343
э	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.127122811433481e-05	6.603396157631981e-05	8.25423880963519e-06	3.301698930469962e-05	0.0	8.25423880963519e-06	5.3652633169756033e-05	8.25423880963519e-06	0.0023565875775567765	0.0	0.0	8.25423880963519e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.650849465234981e-05	0.0	0.0	3.301700633777905e-05
ю	8.254255842714621e-06	0.0002352461424779217	4.952547544050972e-05	0.0	0.0003466783962158858	0.0	1.8572043709083964e-05	8.25423880963519e-06	0.0	0.0	5.158907559648217e-05	0.0005282718118421146	0.00013413152330861205	4.127126218049367e-05	0.0	0.0	3.301698930469962e-05	8.46060649011818e-05	0.0004973184226933873	0.0	0.0	3.301700633777905e-05	8.254255842714621e-06	0.0001423857961844061	4.952546692397e-05	0.0003342969656108454	0.0	0.0	0.0	1.650847761927038e-05	0.0	0.001995464423109149
я	0.0	6.603396157631981e-05	0.00026619943794471197	5.9843288856498206e-05	0.0007366914759209035	9.905100198025772e-05	0.00011143234741990093	0.00020841974924418622	0.0	7.428823445211387e-05	0.00022286468632326216	0.0010441622526949667	0.00047461929790391455	0.0005736702743345531	0.0	8.25423880963519e-06	9.079674613754311e-05	0.00048493699208834696	0.0011782937589704995	1.650847761927038e-05	0.0	0.00015889425677059708	8.25423880963519e-06	6.603399564247868e-05	0.0	0.0004911277499735657	0.0	0.0	0.0	7.016109375594697e-05	7.841534108212188e-05	0.011591026573576269
 	0.002290553667079695	0.00617211300806203	0.014356199495977181	0.0032315379474290315	0.0074515215480160935	0.003642186492151772	0.0016137051223206217	0.0045790438787845925	0.00896617588126995	0.0	0.010206376665517556	0.0022410283364203607	0.007065635549391464	0.017187406848364093	0.010862589838940843	0.015907997635603393	0.0038856870097039643	0.014989712250096958	0.008210912344606884	0.004056962705596141	0.0005282715989286216	0.0018778411985724732	0.0005076361935266772	0.004764764486206227	0.0008605051943300669	0.00013206794870225877	0.0	0.0	0.002391668243666306	0.00040445816156526893	0.0030396266247048774	0.007703276840919923
