	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я	 
ф	0.0002723905620411385	0.0	0.0	0.0	0.0	2.4762759011604152e-05	0.0	0.0	0.00024350066233336752	0.0	1.2381379505802073e-05	4.952558615552603e-05	4.1271287730112826e-05	4.127149212706602e-06	0.0003920774974488031	0.0	0.00012794099536996565	0.0	1.2381447638119806e-05	8.666972467293226e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.777980793208179e-05	4.1271287730112826e-05	0.0	4.127149212706602e-06	0.0	5.7779884580939236e-05
х	0.0006727222557168782	0.0	0.000235246372424494	1.2381379505802073e-05	1.2381379505802073e-05	4.539843694281943e-05	0.0	0.0	0.00026826365980808374	0.0	4.127149212706602e-06	0.0007759007731210504	5.36526672359149e-05	0.0002930264273362276	0.0026248563132225313	0.0	0.0001692123001331579	5.365273536823263e-05	1.2381379505802073e-05	8.666977577217055e-05	0.0	0.0	0.0	1.2381379505802073e-05	2.063567793121528e-05	0.0	0.0	0.0	1.6508528718508677e-05	0.0	0.0	0.0033925026346204538
ц	0.0005612897379661829	0.0	0.0002146109329563908	0.0	0.0	0.0007428837582667317	0.0	0.0	0.00022699225284641486	0.0	4.127135586243056e-05	0.0	0.0	0.0	0.00013619533637807744	1.2381379505802073e-05	0.0	0.0	0.0	0.00014857684363197524	0.0	0.0	2.4762759011604152e-05	0.0	0.0	0.0	0.0001609582061046979	0.0	0.0	0.0	0.0	0.0002063566345309776
ч	0.001712759828995656	1.2381379505802073e-05	0.0	0.0	0.0	0.0028229587770761916	0.0	0.0	0.001745777320776199	0.0	0.001184486620441028	0.0	4.127149212706602e-06	0.0011101987266505027	0.00014857680104927667	0.0	0.0	0.0	0.002922010000486482	0.0007387564302066908	0.0	1.6508528718508677e-05	0.0	0.0	0.00015683102282583241	0.0	0.0	0.0002971534743504576	0.0	0.0	0.0	7.016133221905905e-05
ш	0.0008749520987298172	0.0	1.2381422088500657e-05	0.0	0.0	0.0020594388298858617	0.0	0.0	0.0017705397561592938	0.0	0.0006809769970023567	0.0004952559126544986	1.6508528718508677e-05	0.00024350079859800298	0.0003012805128481479	2.4762759011604152e-05	1.6508528718508677e-05	1.2381379505802073e-05	2.063567793121528e-05	0.00011143262846571159	0.0	0.0	0.0	4.127149212706602e-06	0.0	0.0	0.0	0.0006685954471657603	0.0	0.0	0.0	7.016133221905905e-05
щ	0.0004085858728695968	0.0	0.0	0.0	0.0	0.001394970804462079	0.0	0.0	0.001035910219669118	0.0	0.0	0.0	4.127149212706602e-06	6.603411487403471e-05	0.0	1.2381379505802073e-05	0.0	0.0	0.0	0.00026826349799382915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.539847952551801e-05	0.0	0.0	0.0	1.2381379505802073e-05
ы	0.0	0.0002476279137445507	0.0008212994570435216	0.0002806449371154092	0.00014032246004116487	0.0014362420325764137	7.016119595442358e-05	6.603411487403471e-05	1.2381379505802073e-05	0.0015848182289513707	0.00017746680295552432	0.0023813552591283368	0.0010441645010614519	0.00018572090550052404	0.0	0.00015270398432814215	0.00014857674143349864	0.0004209674567723521	0.0005654169297615881	4.127149212706602e-06	0.0	0.0009657489726154562	1.2381379505802073e-05	0.00021461094147293052	0.0007593921847867637	1.6508528718508677e-05	0.0	0.0	0.0	0.0	2.8889950807009332e-05	0.004576989578689991
ь	0.0	4.952558615552603e-05	2.4762759011604152e-05	4.539843694281943e-05	2.888990822431075e-05	0.00042096735457387553	0.0	0.00016921252156319055	0.00010317833004029839	0.0	0.0016219626229649683	0.0	0.0003838233182549459	0.0009533675505269555	3.714413851740622e-05	0.0	0.0	0.001019401759082927	0.00012381399945497393	0.0	4.127149212706602e-06	0.0	9.079689091871829e-05	9.079681426986084e-05	0.0007222482676993901	8.254272875794054e-06	0.0	0.0	0.0	0.00032191631001091917	0.0010936901553492955	0.011275324850728694
э	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.714420664972395e-05	5.7779884580939236e-05	4.127149212706602e-06	3.3017057437017354e-05	0.0	4.127149212706602e-06	6.603406377479641e-05	4.127149212706602e-06	0.0023400840139809224	0.0	0.0	4.127149212706602e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.6508528718508677e-05	0.0	0.0	4.1271287730112826e-05
ю	1.2381379505802073e-05	0.00028064480085077375	4.539847100897829e-05	0.0	0.0003508062182352299	0.0	1.2381422088500657e-05	4.127149212706602e-06	0.0	0.0	6.60340552582567e-05	0.0005200186886991822	0.00013619535341115687	5.36526672359149e-05	0.0	0.0	3.3017057437017354e-05	9.905111269527405e-05	0.0005076372155114432	0.0	0.0	4.1271287730112826e-05	1.2381379505802073e-05	0.0001568309632100544	4.127135586243056e-05	0.00030953501567051425	0.0	0.0	0.0	8.254298425413205e-06	0.0	0.0020594386936212262
я	0.0	5.7779884580939236e-05	0.0002476280074264876	5.777985903132008e-05	0.0006892312698781508	0.000115559632897243	0.0001155596839964813	0.0002104837326444459	0.0	7.841549437983678e-05	0.00022699225284641486	0.0010276559808594828	0.0005117642369760541	0.0006149425244336538	0.0	4.127149212706602e-06	0.00010317825339144092	0.0004663660129467275	0.0011555971039775442	8.254298425413205e-06	0.0	0.00015683103134237216	4.127149212706602e-06	7.428834516713018e-05	0.0	0.0005076371899618241	0.0	0.0	0.0	6.603413190711414e-05	7.428839626636848e-05	0.011477555059952842
 	0.00230706682027927	0.00596370685973177	0.014275750541475427	0.0032893241086997416	0.007342168598933339	0.003574096748602939	0.0015022765732774343	0.004663659013800572	0.008832063417977223	0.0	0.01013210980758013	0.0023318293067616028	0.0069872351037373066	0.017358717240639077	0.011035950732933715	0.01565421340486024	0.003924902541011183	0.014556396986018367	0.008122196495717476	0.004127131890064819	0.00041684081003548875	0.00184482822055798	0.0004993830278010463	0.004870015537616534	0.0008171723504135135	0.00012794111460152167	0.0	0.0	0.0024308806919861484	0.0004250945293362013	0.0030623319836014227	0.007957109794786798
