	а	б	в	г	д	е	ж	з	и	й	к	л	м	н	о	п	р	с	т	у	ф	х	ц	ч	ш	щ	ы	ь	э	ю	я
х	0.0007897913015207048	0.00018875514738268795	0.0006159379019469901	0.00019868962947317784	0.00013908278627671567	9.934482090489854e-05	0.0	0.00012914829184960657	0.0006507086016003239	0.0	0.00021855859365415753	0.0010282187729995075	0.00023842758250837572	0.0006507086386101815	0.0034919704301339446	0.000526527538459343	0.0003973792589463557	0.0003924120425743492	0.00024339478654376292	0.00011921380975911672	2.9803421598231074e-05	3.973794069857866e-05	1.9868964180979706e-05	6.954139930666746e-05	8.94103141411702e-05	1.9868964180979706e-05	0.0	0.0	1.9868964180979706e-05	0.0	3.973794069857866e-05
ц	0.0006159378402638939	9.934482090489853e-06	0.00032783785963968825	0.0	0.0	0.0008841689060535969	0.0	0.0	0.0003030016914233213	0.0	9.934482090489854e-05	0.0	9.934482090489853e-06	3.973794069857866e-05	0.00019372241310117137	9.934482090489853e-06	9.934482090489853e-06	1.9868964180979706e-05	9.934482090489853e-06	0.00019868966648303556	0.0	0.0	1.9868964180979706e-05	0.0	0.0	0.0	0.0002185585566442998	0.0	0.0	0.0	0.0
ч	0.002071339478857277	1.9868964180979706e-05	0.0	0.0	9.934482090489853e-06	0.0034969377328622864	0.0	0.0	0.0022253239635964886	0.0	0.0013312206124622594	9.934482090489853e-06	1.9868964180979706e-05	0.001400761950085831	0.00018875517205592642	9.934482090489853e-06	0.0	2.980344627146956e-05	0.003640987673827912	0.0008096603520580193	0.0	1.9868964180979706e-05	0.0	9.934482090489853e-06	0.00018378794334730075	0.0	0.0	0.0003427396444585192	0.0	0.0	0.0
ш	0.00107789129448153	0.0	3.477067498009524e-05	0.0	0.0	0.002433948149179872	0.0	0.0	0.0021508153972642917	0.0	0.0008792016403351135	0.0006010362158211131	1.9868964180979706e-05	0.00031293618585043036	0.00033777241574989346	2.980344627146956e-05	1.9868964180979706e-05	1.9868964180979706e-05	3.973792836195941e-05	0.00014901724369396704	0.0	9.934482090489853e-06	0.0	9.934482090489853e-06	0.0	0.0	0.0	0.0008096603150481615	0.0	0.0	9.934482090489853e-06
щ	0.00043214995859968937	0.0	0.0	0.0	0.0	0.0017236326056901318	0.0	0.0	0.0012467775640395728	0.0	0.0	0.0	9.934482090489853e-06	7.450864035191239e-05	0.0	9.934482090489853e-06	0.0	9.934482090489853e-06	0.0	0.0002881000176340635	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.457412125156481e-05	0.0	0.0	0.0
ы	0.00013908276160347718	0.0005016913579063569	0.0015646809169155326	0.0003924120425743492	0.0004569862008357717	0.0018180102719061201	0.00010927930299538839	0.00032783785963968825	0.0003775103194386144	0.0017385344398554397	0.0004172482478005738	0.0029257049386394044	0.0015398447980456429	0.0009189395563604536	0.00029306724634268913	0.0007202499638971336	0.00023346035379975005	0.001127563655587502	0.0009139723523250666	0.00018378793101068153	9.934494427109098e-06	0.0012418103353309471	1.9868964180979706e-05	0.00037254310306660796	0.0008891361717720803	2.980344627146956e-05	0.0	0.0	3.973792836195941e-05	0.0	0.00013411548354837452
ь	0.00024836206459886555	0.0005215603220873366	0.0013461222862515174	0.00027816548619709667	0.0005861344926853783	0.0010083498951748624	6.954138697004821e-05	0.000606003358173404	0.0009189395316872152	0.0	0.002677342898713777	0.0002334603167898923	0.0008990706538625702	0.00273198256254809	0.0008593327255006108	0.0010778912574716721	0.0002682310411164645	0.0026773429110503962	0.0008444309283451606	0.0003179034268956753	5.960689254293912e-05	0.00025829654668935544	0.00011424655637725256	0.0005165930316956146	0.0009487430519784001	1.9868976517598947e-05	0.0	0.0	0.00019868962947317784	0.0003973792836195942	0.0016391894955843488
э	0.0	0.0	0.0	0.0	9.934482090489853e-06	0.0	0.0	0.0	0.0	0.0	4.967241045244927e-05	7.947585672391882e-05	9.934482090489853e-06	5.960689254293912e-05	9.934482090489853e-06	9.934482090489853e-06	6.457413358818405e-05	9.934482090489853e-06	0.002846229069578866	0.0	0.0	9.934482090489853e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.9868964180979706e-05	0.0	0.0
ю	0.00010927931533200763	0.0003427396444585192	0.00029306724634268913	2.980344627146956e-05	0.00048182236905213864	5.463963916107495e-05	2.9803458608088804e-05	6.954138697004821e-05	5.960690487955836e-05	0.0	0.00029306724634268913	0.0006358068537913506	0.00025829655902597464	0.00016888620787494673	0.00018875514738268795	0.0003179034762421523	0.00010927934000524611	0.00030300174076979827	0.0007003810984091078	1.9868964180979706e-05	1.9868964180979706e-05	4.967241045244927e-05	9.934482090489853e-06	0.00033777237874003577	8.941033881440868e-05	0.00041724823546395465	0.0	0.0	1.9868964180979706e-05	2.980344627146956e-05	4.9672422789068507e-05
я	0.00020365687051842276	0.000630839575736248	0.0014951395792919613	0.0003030016667500828	0.0013659913491254512	0.0004818223813887579	0.0002731982698250902	0.0007152827598617465	0.000963644824460612	8.941033881440868e-05	0.0010679568370642785	0.0014554017372863364	0.0011921379002052593	0.00247368610221507	0.0009537103053602644	0.0014106965308692747	0.00032783789664954594	0.0017385343411624858	0.0021508153232445764	0.0003427396321218999	2.980344627146956e-05	0.00033280513769479083	9.934482090489853e-06	0.0005016913208964991	8.444311010578299e-05	0.0006109706485651259	0.0	0.0	0.00026326376306136184	8.94103141411702e-05	0.00026326376306136184
